sku,dup,grainger_cat,search,gc,zoro,grainger,amzn,fast,msm
sku949,0,Metalworking,VALUE+BRAND+148506114,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+148506114,http://grainger.com/product/GRAINGER-APPROVED-1-1-4-Steel-10-5-Gauge-Truss-21Y650?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/5BA76_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+148506114,https://www.fastenal.com/products?term=VALUE+BRAND+148506114,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+148506114
sku950,0,Metalworking,VALUE+BRAND+U51010.037.0225,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+U51010.037.0225,http://grainger.com/product/GRAINGER-APPROVED-Tap-Bolt-41UG84?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/25CL06_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+U51010.037.0225,https://www.fastenal.com/products?term=VALUE+BRAND+U51010.037.0225,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+U51010.037.0225
sku951,0,Metalworking,VALUE+BRAND+5389HG-3/8,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+5389HG-3/8,http://grainger.com/product/GRAINGER-APPROVED-Rubber-Sheet-WP62295/_/N-/Ntt-GRAINGER+5389HG-3~~~8?searchBar=true&sst=subset&s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/36XR82_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+5389HG-3/8,https://www.fastenal.com/products?term=VALUE+BRAND+5389HG-3/8,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+5389HG-3/8
sku952,0,Metalworking,VALUE+BRAND+P1628EC,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+P1628EC,http://grainger.com/product/GRAINGER-APPROVED-Drill-Bushing-11J007?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/11H082_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+P1628EC,https://www.fastenal.com/products?term=VALUE+BRAND+P1628EC,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+P1628EC
sku953,0,Metalworking,VALUE+BRAND+A25641128,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+A25641128,http://grainger.com/product/GRAINGER-APPROVED-Air-Hard-Flat-Stock-33D023?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/33C666_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+A25641128,https://www.fastenal.com/products?term=VALUE+BRAND+A25641128,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+A25641128
sku954,0,Cleaning & Maintenance,VALUE+BRAND+2VAE4,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+2VAE4,http://grainger.com/product/GRAINGER-APPROVED-Disc-Magnet-2VAE4?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/2VAE8_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+2VAE4,https://www.fastenal.com/products?term=VALUE+BRAND+2VAE4,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+2VAE4
sku955,0,Other,VALUE+BRAND+1G0210577,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+1G0210577,http://grainger.com/product/DAYTON-Swivel-Caster-46H450?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/NOTAVAIL?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+1G0210577,https://www.fastenal.com/products?term=VALUE+BRAND+1G0210577,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+1G0210577
sku956,0,Metalworking,VALUE+BRAND+1UXD8,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+1UXD8,http://grainger.com/product/GRAINGER-APPROVED-Rod-1UXD8?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/1UXB3_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+1UXD8,https://www.fastenal.com/products?term=VALUE+BRAND+1UXD8,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+1UXD8
sku957,0,Metalworking,VALUE+BRAND+P14448TN,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+P14448TN,http://grainger.com/product/GRAINGER-APPROVED-Drill-Bushing-11H185?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/11H082_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+P14448TN,https://www.fastenal.com/products?term=VALUE+BRAND+P14448TN,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+P14448TN
sku958,0,Metalworking,VALUE+BRAND+M39078.020.0005,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+M39078.020.0005,http://grainger.com/product/GRAINGER-APPROVED-Pin-41KD25?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/38JZ94_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+M39078.020.0005,https://www.fastenal.com/products?term=VALUE+BRAND+M39078.020.0005,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+M39078.020.0005
sku959,0,Metalworking,VALUE+BRAND+U04360.050.0250,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+U04360.050.0250,http://grainger.com/product/GRAINGER-APPROVED-Hex-Head-Cap-Screw-1-2-20-25CT82?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/25CK81_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+U04360.050.0250,https://www.fastenal.com/products?term=VALUE+BRAND+U04360.050.0250,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+U04360.050.0250
sku960,0,"Pumps, Plumbing & Test",VALUE+BRAND+4DXU4,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+4DXU4,http://grainger.com/product/GRAINGER-APPROVED-Flexible-Hose-Assembly-4DXU4?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/4DXU2_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+4DXU4,https://www.fastenal.com/products?term=VALUE+BRAND+4DXU4,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+4DXU4
sku961,0,Metalworking,VALUE+BRAND+M04100.140.0140,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+M04100.140.0140,http://grainger.com/product/GRAINGER-APPROVED-Hex-Head-Cap-Screw-M14-2-00-25CZ35?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/25DN53_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+M04100.140.0140,https://www.fastenal.com/products?term=VALUE+BRAND+M04100.140.0140,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+M04100.140.0140
sku962,0,Metalworking,VALUE+BRAND+U39130.012.0100,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+U39130.012.0100,http://grainger.com/product/GRAINGER-APPROVED-Spring-Pin-41MA80?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/41KG16_AL01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+U39130.012.0100,https://www.fastenal.com/products?term=VALUE+BRAND+U39130.012.0100,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+U39130.012.0100
sku963,0,"Pumps, Plumbing & Test",VALUE+BRAND+5RWK3,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+5RWK3,http://grainger.com/product/GRAINGER-APPROVED-Side-Round-Perforations-Suction-5RWK3?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/5RWJ1_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+5RWK3,https://www.fastenal.com/products?term=VALUE+BRAND+5RWK3,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+5RWK3
sku964,0,"Pumps, Plumbing & Test",VALUE+BRAND+1WHW5,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+1WHW5,http://grainger.com/product/GRAINGER-APPROVED-Reducing-Wye-with-45-Bend-1WHW5?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/1WHW5_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+1WHW5,https://www.fastenal.com/products?term=VALUE+BRAND+1WHW5,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+1WHW5
sku965,0,Metalworking,VALUE+BRAND+1433-0.201,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+1433-0.201,http://grainger.com/product/GRAINGER-APPROVED-Chucking-Reamer-20G418?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/20G319_AW01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+1433-0.201,https://www.fastenal.com/products?term=VALUE+BRAND+1433-0.201,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+1433-0.201
sku966,0,Metalworking,VALUE+BRAND+H5640LZ,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+H5640LZ,http://grainger.com/product/GRAINGER-APPROVED-Drill-Bushing-11N929?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/11K815_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+H5640LZ,https://www.fastenal.com/products?term=VALUE+BRAND+H5640LZ,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+H5640LZ
sku967,0,Metalworking,VALUE+BRAND+SB-0316-0250-12-12,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+SB-0316-0250-12-12,http://grainger.com/product/GRAINGER-APPROVED-Blank-1NZX2?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/1UXF9_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+SB-0316-0250-12-12,https://www.fastenal.com/products?term=VALUE+BRAND+SB-0316-0250-12-12,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+SB-0316-0250-12-12
sku968,0,Metalworking,VALUE+BRAND+6YCK6,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+6YCK6,http://grainger.com/product/GRAINGER-APPROVED-U-Drive-Screw-6YCK6?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/6UUN9_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+6YCK6,https://www.fastenal.com/products?term=VALUE+BRAND+6YCK6,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+6YCK6
sku969,0,Material Handling,VALUE+BRAND+MH2MPU205G,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+MH2MPU205G,http://grainger.com/product/DAYTON-Cable-46H622?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/46H622_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+MH2MPU205G,https://www.fastenal.com/products?term=VALUE+BRAND+MH2MPU205G,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+MH2MPU205G
sku970,0,Metalworking,VALUE+BRAND+P8834OH,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+P8834OH,http://grainger.com/product/GRAINGER-APPROVED-Drill-Bushing-11P618?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/11H082_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+P8834OH,https://www.fastenal.com/products?term=VALUE+BRAND+P8834OH,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+P8834OH
sku971,0,Metalworking,VALUE+BRAND+O111446,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+O111446,http://grainger.com/product/GRAINGER-APPROVED-Oil-Hard-Flat-Stock-33E693?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/33C666_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+O111446,https://www.fastenal.com/products?term=VALUE+BRAND+O111446,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+O111446
sku972,0,Metalworking,VALUE+BRAND+1WFP6,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+1WFP6,http://grainger.com/product/GRAINGER-APPROVED-Clevis-Pin-1WFP6?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/1WGF8_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+1WFP6,https://www.fastenal.com/products?term=VALUE+BRAND+1WFP6,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+1WFP6
sku973,0,"Pumps, Plumbing & Test",VALUE+BRAND+2LZF4,null,http://zoro.com/search?q=VALUE+BRAND+2LZF4,,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+2LZF4,https://www.fastenal.com/products?term=VALUE+BRAND+2LZF4,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+2LZF4
sku974,0,"Pumps, Plumbing & Test",VALUE+BRAND+4VMU9,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+4VMU9,http://grainger.com/product/GRAINGER-APPROVED-3-8-Swing-Check-Valve-4VMU9?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/4VMU8_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+4VMU9,https://www.fastenal.com/products?term=VALUE+BRAND+4VMU9,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+4VMU9
sku975,0,Cleaning & Maintenance,VALUE+BRAND+3512100,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+3512100,http://grainger.com/product/GRAINGER-APPROVED-Floor-Blade-21AV01?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/NOTAVAIL?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+3512100,https://www.fastenal.com/products?term=VALUE+BRAND+3512100,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+3512100
sku976,0,Metalworking,VALUE+BRAND+U01060.031.0075,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+U01060.031.0075,http://grainger.com/product/GRAINGER-APPROVED-Hex-Head-Cap-Screw-5-16-24-3EPG3?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/29DG95_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+U01060.031.0075,https://www.fastenal.com/products?term=VALUE+BRAND+U01060.031.0075,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+U01060.031.0075
sku977,0,Cleaning & Maintenance,VALUE+BRAND+1KLK7,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+1KLK7,http://grainger.com/product/GRAINGER-APPROVED-O-Ring-1KLK7?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/1KER2_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+1KLK7,https://www.fastenal.com/products?term=VALUE+BRAND+1KLK7,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+1KLK7
