sku,jul,sep,grainger_cat,GC,ag,zg,az,ag_jul,zg_jul,az_jul,grainger,zoro,is_jul,is_sep
sku3690,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test",Other,"1 Neither","6 Zoro Only","2 Zoro Only","1 Neither","6 Zoro Only","2 Zoro Only",0,1,"1 None","1 None"
sku3691,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test",Other,"1 Neither","6 Zoro Only","2 Zoro Only","1 Neither","6 Zoro Only","2 Zoro Only",0,1,"1 None","1 None"
sku3692,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test",Other,"1 Neither","6 Zoro Only","2 Zoro Only","1 Neither","6 Zoro Only","2 Zoro Only",0,1,"1 None","1 None"
sku3693,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test",Other,"1 Neither","6 Zoro Only","2 Zoro Only","1 Neither","6 Zoro Only","2 Zoro Only",0,1,"1 None","1 None"
sku3694,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test",Other,"1 Neither","6 Zoro Only","2 Zoro Only","1 Neither","6 Zoro Only","2 Zoro Only",0,1,"1 None","1 None"
sku3695,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test",Other,"1 Neither","6 Zoro Only","2 Zoro Only","1 Neither","6 Zoro Only","2 Zoro Only",0,1,"1 None","1 None"
sku3696,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test",Other,"1 Neither","6 Zoro Only","2 Zoro Only","1 Neither","6 Zoro Only","2 Zoro Only",0,1,"1 None","1 None"
sku3697,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test",Other,"1 Neither","6 Zoro Only","2 Zoro Only","1 Neither","6 Zoro Only","2 Zoro Only",0,1,"1 None","1 None"
sku3698,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test",Other,"1 Neither","6 Zoro Only","2 Zoro Only","1 Neither","6 Zoro Only","2 Zoro Only",0,1,"1 None","1 None"
sku3699,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test",Other,"1 Neither","6 Zoro Only","2 Zoro Only","1 Neither","6 Zoro Only","2 Zoro Only",0,1,"1 None","1 None"
sku37,"2 Marketplace","2 Marketplace","Cleaning & Maintenance","Grainger Choice","5 Amazon Better","5 Zoro Better","3 Zoro Better","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,1,"4 Both","4 Both"
sku370,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test","Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"4 Both","4 Both"
sku3700,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test",Other,"1 Neither","6 Zoro Only","2 Zoro Only","1 Neither","6 Zoro Only","2 Zoro Only",0,1,"1 None","1 None"
sku3701,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test",Other,"1 Neither","6 Zoro Only","2 Zoro Only","1 Neither","6 Zoro Only","2 Zoro Only",0,1,"1 None","1 None"
sku3702,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test",Other,"1 Neither","6 Zoro Only","2 Zoro Only","1 Neither","6 Zoro Only","2 Zoro Only",0,1,"1 None","1 None"
sku3703,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test",Other,"1 Neither","6 Zoro Only","2 Zoro Only","1 Neither","6 Zoro Only","2 Zoro Only",0,1,"1 None","1 None"
sku3704,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test",Other,"1 Neither","6 Zoro Only","2 Zoro Only","1 Neither","6 Zoro Only","2 Zoro Only",0,1,"1 None","1 None"
sku3705,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test",Other,"1 Neither","6 Zoro Only","2 Zoro Only","1 Neither","6 Zoro Only","2 Zoro Only",0,1,"1 None","1 None"
sku3706,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test",Other,"1 Neither","6 Zoro Only","2 Zoro Only","1 Neither","6 Zoro Only","2 Zoro Only",0,1,"1 None","1 None"
sku3707,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test",Other,"1 Neither","6 Zoro Only","2 Zoro Only","1 Neither","6 Zoro Only","2 Zoro Only",0,1,"1 None","1 None"
sku3708,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test",Other,"1 Neither","6 Zoro Only","2 Zoro Only","1 Neither","6 Zoro Only","2 Zoro Only",0,1,"1 None","1 None"
sku3709,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test",Other,"1 Neither","6 Zoro Only","2 Zoro Only","1 Neither","6 Zoro Only","2 Zoro Only",0,1,"1 None","1 None"
